record_id,title,authors,year,venue,sources,url,pdf_url,doi,arxiv_id,openalex_id,citation_count,abstract,tier,screening_reason,full_text_status,notes_path
P01,"TM2T: Stochastic and Tokenized Modeling for the Reciprocal Generation of 3D Human Motions and Texts","Guo et al.",2022,ECCV,ECVA,https://arxiv.org/abs/2207.01696,https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136950575.pdf,,2207.01696,,,"Introduces the published HumanML3D M2T protocol.",core,"Domain protocol anchor",abstract+tables,
P02,"MotionGPT: Human Motion as a Foreign Language","Jiang et al.",2023,NeurIPS,NeurIPS,https://arxiv.org/abs/2306.14795,https://papers.neurips.cc/paper_files/paper/2023/file/3fbf0c1ea0716c03dea93bb6be78dd6f-Paper-Conference.pdf,,2306.14795,,,"Reports M2T results under a different metric implementation.",core,"Domain comparison anchor",abstract+tables,
P03,"G-Eval: NLG Evaluation using GPT-4 with Better Human Alignment","Liu et al.",2023,EMNLP,arXiv,https://arxiv.org/abs/2303.16634,https://arxiv.org/pdf/2303.16634,,2303.16634,,,"Uses rubric-driven chain-of-thought and form filling for NLG evaluation.",core,"Direct assessment judge",abstract,
P04,"Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena","Zheng et al.",2023,NeurIPS,arXiv,https://arxiv.org/abs/2306.05685,https://arxiv.org/pdf/2306.05685,,2306.05685,,,"Establishes single-score and pairwise LLM judging and documents judge biases.",core,"Open-ended benchmark anchor",abstract,
P05,"CLAIR: Evaluating Image Captions with Large Language Models","Chan et al.",2023,EMNLP,ACL,https://aclanthology.org/2023.emnlp-main.841/,https://aclanthology.org/2023.emnlp-main.841.pdf,10.18653/v1/2023.emnlp-main.841,,,,"LLM scores candidate captions against references and explains the score.",core,"Caption-specific LLM judge",abstract,
P06,"Length-Controlled AlpacaEval: A Simple Way to Debias Automatic Evaluators","Dubois et al.",2024,arXiv,arXiv,https://arxiv.org/abs/2404.04475,https://arxiv.org/pdf/2404.04475,,2404.04475,,,"Reports length-controlled pairwise win rate to reduce verbosity bias.",core,"Bias-controlled win rate",abstract,
P07,"From Crowdsourced Data to High-Quality Benchmarks: Arena-Hard and BenchBuilder Pipeline","Li et al.",2024,arXiv,arXiv,https://arxiv.org/abs/2406.11939,https://arxiv.org/pdf/2406.11939,,2406.11939,,,"Uses LLM pairwise judging and evaluates rank correlation and model separation.",core,"Modern automatic leaderboard",abstract,
P08,"Prometheus 2: An Open Source Language Model Specialized in Evaluating Other Language Models","Kim et al.",2024,EMNLP,arXiv,https://arxiv.org/abs/2405.01535,https://arxiv.org/pdf/2405.01535,,2405.01535,,,"Open judge supporting rubric-based direct assessment and pairwise ranking.",core,"Reproducible open judge",abstract,
P09,"FLEUR: An Explainable Reference-Free Evaluation Metric for Image Captioning Using a Large Multimodal Model","Lee et al.",2024,ACL,ACL,https://aclanthology.org/2024.acl-long.205/,https://aclanthology.org/2024.acl-long.205.pdf,10.18653/v1/2024.acl-long.205,,,,"Grounds caption evaluation in the source image and provides explanations.",core,"Multimodal reference-free caption judge",abstract,
P10,"JudgeBench: A Benchmark for Evaluating LLM-based Judges","Tan et al.",2024,arXiv,arXiv,https://arxiv.org/abs/2410.12784,https://arxiv.org/pdf/2410.12784,,2410.12784,,,"Shows that strong judges can remain unreliable on hard preference pairs.",core,"Judge reliability constraint",abstract,
P11,"VideoJudge: Bootstrapping Enables Scalable Supervision of MLLM-as-a-Judge for Video Understanding","Waheed et al.",2025,arXiv,arXiv,https://arxiv.org/abs/2509.21451,https://arxiv.org/pdf/2509.21451,,2509.21451,,,"Finds video-conditioned judges outperform text-only judges for video-grounded responses.",core,"Closest modality-grounded evidence",abstract,
